,Region,Make,NumOfModel,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,GreenhouseGasScore
0,European,Audi,2,A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,small car,34,39,36,10
4,European,Bmw,8,328d,2,4,SemiAuto-8,2WD,Diesel,small car,31,43,36,7
24,American,Buick,1,Encore,1.4,4,SemiAuto-6,2WD,Gasoline,small SUV,27,33,30,7
27,American,Cadillac,1,CT6 Plug-In,2,4,CVT,2WD,Gasoline/Electricity,midsize car,23,29,25,10
31,American,Chevrolet,21,Cruze,1.4,4,Man-6,2WD,Gasoline,small car,27,40,32,7
77,American,Chrysler,1,Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,minivan,32,33,32,10
79,European,Fiat,3,124 Spider,1.4,4,Man-6,2WD,Gasoline,small car,26,35,30,7
87,American,Ford,8,C-MAX Hybrid,2,4,CVT,2WD,Gasoline,large car,42,38,40,9
105,Asian,Honda,24,Accord,1.5,4,CVT,2WD,Gasoline,large car,30,38,33,8
170,Asian,Hyundai,14,Accent,1.6,4,Man-6,2WD,Gasoline,small car,28,37,31,7
204,Asian,Infiniti,1,Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,midsize car,28,33,30,7
206,Asian,Kia,10,Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,37,32,7
230,Asian,Lexus,5,ES 300h,2.5,4,SCV-6,2WD,Gasoline,midsize car,40,39,40,9
240,American,Lincoln,1,MKZ Hybrid,2,4,CVT,2WD,Gasoline,midsize car,41,38,40,9
242,Asian,Mazda,9,2,1.5,4,Man-6,2WD,Gasoline,small car,30,39,34,8
260,European,Mercedes-Benz,3,C350e,2,4,Auto-7,2WD,Gasoline/Electricity,small car,28,32,30,9
266,European,Mini,6,Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,small car,28,37,32,7
278,Asian,Mitsubishi,5,Mirage,1.2,3,CVT,2WD,Gasoline,small car,37,43,39,9
288,Asian,Nissan,8,Altima,2.5,4,CVT,2WD,Gasoline,midsize car,27,38,31,7
310,European,Porsche,7,Cayenne S e-Hybrid,3,6,AutoMan-8,4WD,Gasoline/Electricity,standard SUV,21,24,22,8
328,Asian,Subaru,4,Impreza,2,4,SCV-7,4WD,Gasoline,midsize car,28,38,32,7
358,Asian,Toyota,22,Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,midsize car,40,39,40,9
406,European,Volkswagen,2,Jetta,1.4,4,Man-5,2WD,Gasoline,small car,28,40,33,8
411,European,Volvo,3,S90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,midsize car,26,33,29,10
