,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score
0,European,AUDI,A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,small car,34/81,39/86,36/83,10
1,European,AUDI,A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,small car,34/81,39/86,36/83,10
2,European,AUDI,A4 Ultra,2,4,AMS-7,2WD,Gasoline,small car,27,37,31,7
3,European,AUDI,A4 Ultra,2,4,AMS-7,2WD,Gasoline,small car,27,37,31,7
4,European,BMW,328d,2,4,SemiAuto-8,2WD,Diesel,small car,31,43,36,7
5,European,BMW,328d,2,4,SemiAuto-8,2WD,Diesel,small car,31,43,36,7
6,European,BMW,330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,small car,28/66,34/78,30/71,10
7,European,BMW,330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,small car,28/66,34/78,30/71,10
8,European,BMW,530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,small car,27/70,31/75,29/72,10
9,European,BMW,530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,small car,27/70,31/75,29/72,10
10,European,BMW,530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,small car,27/66,31/68,28/67,10
11,European,BMW,530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,small car,27/66,31/68,28/67,10
12,European,BMW,740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,large car,25/62,29/68,27/64,9
13,European,BMW,740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,large car,25/62,29/68,27/64,9
14,European,BMW,X5 xDrive40e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,23/55,25/57,24/56,8
15,European,BMW,X5 xDrive40e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,23/55,25/57,24/56,8
16,European,BMW,i3 (94Ah),0.6,2,Auto-1,2WD,Gasoline/Electricity,small car,36/117,33/101,35/109,10
17,European,BMW,i3 (94Ah),0.6,2,Auto-1,2WD,Gasoline/Electricity,small car,36/117,33/101,35/109,10
18,European,BMW,i3 (94Ah),,,Auto-1,2WD,Electricity,small car,129,106,118,10
19,European,BMW,i3 (94Ah),,,Auto-1,2WD,Electricity,small car,129,106,118,10
20,European,BMW,i3s (94Ah),0.6,2,Auto-1,2WD,Gasoline/Electricity,small car,36/117,33/101,35/109,10
21,European,BMW,i3s (94Ah),0.6,2,Auto-1,2WD,Gasoline/Electricity,small car,36/117,33/101,35/109,10
22,European,BMW,i3s (94Ah),,,Auto-1,2WD,Electricity,small car,126,99,112,10
23,European,BMW,i3s (94Ah),,,Auto-1,2WD,Electricity,small car,126,99,112,10
24,,BUICK,Encore,1.4,4,SemiAuto-6,2WD,Gasoline,small SUV,27,33,30,7
25,,BUICK,Encore,1.4,4,SemiAuto-6,2WD,Gasoline,small SUV,27,33,30,7
26,,BYD,e6,,,Auto-1,2WD,Electricity,small SUV,73,71,72,10
27,,CADILLAC,CT6 Plug-In,2,4,CVT,2WD,Gasoline/Electricity,midsize car,23/56,29/71,25/62,10
28,,CADILLAC,CT6 Plug-In,2,4,CVT,2WD,Gasoline/Electricity,midsize car,23/56,29/71,25/62,10
29,American,CHEVROLET,Bolt EV,,,Auto-1,2WD,Electricity,station wagon,128,110,119,10
30,American,CHEVROLET,Bolt EV,,,Auto-1,2WD,Electricity,station wagon,128,110,119,10
31,American,CHEVROLET,Cruze,1.4,4,Man-6,2WD,Gasoline,small car,27,40,32,7
32,American,CHEVROLET,Cruze,1.4,4,Man-6,2WD,Gasoline,small car,27,40,32,7
33,American,CHEVROLET,Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,small car,29,40,33,8
34,American,CHEVROLET,Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,small car,29,40,33,8
