,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,GreenhouseGasScore
0,European,Audi,A4,2.0,4.0,AMS-7,2WD,Gasoline,small car,27.0,34.0,30.0,7
4,European,Bmw,330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,26.0,36.0,30.0,7
6,European,Bmw,530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,small car,27.0,30.0,29.0,10
8,European,Bmw,530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small car,27.0,31.0,28.0,10
10,European,Bmw,740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,large car,25.0,29.0,27.0,9
12,European,Bmw,i3,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,30.0,31.0,31.0,10
16,European,Bmw,i3s,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,30.0,31.0,31.0,10
20,European,Bmw,i8 Coupe,1.5,3.0,Auto-6,4WD,Gasoline/Electricity,small car,26.0,29.0,27.0,10
22,European,Bmw,i8 Roadster,1.5,3.0,Auto-6,4WD,Gasoline/Electricity,small car,26.0,29.0,27.0,10
27,American,Chevrolet,Cruze,1.4,4.0,CVT,2WD,Gasoline,small car,30.0,38.0,33.0,8
29,American,Chevrolet,Cruze,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,28.0,38.0,32.0,7
31,American,Chevrolet,Cruze,1.6,4.0,Auto-9,2WD,Diesel,small car,31.0,48.0,37.0,7
33,American,Chevrolet,Cruze Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,28.0,38.0,32.0,7
35,American,Chevrolet,Cruze Premier,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,28.0,38.0,32.0,7
37,American,Chevrolet,Cruze Premier Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,28.0,37.0,31.0,7
39,American,Chevrolet,Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,29.0,36.0,32.0,7
43,American,Chevrolet,Malibu,1.8,4.0,CVT,2WD,Gasoline,midsize car,49.0,43.0,46.0,10
45,American,Chevrolet,Sonic,1.4,4.0,Man-6,2WD,Gasoline,small car,27.0,38.0,31.0,7
47,American,Chevrolet,Spark,1.4,4.0,CVT,2WD,Gasoline,small car,30.0,38.0,33.0,8
49,American,Chevrolet,Spark,1.4,4.0,Man-5,2WD,Gasoline,small car,29.0,38.0,33.0,8
51,American,Chevrolet,Spark Activ,1.4,4.0,CVT,2WD,Gasoline,small car,30.0,37.0,33.0,8
53,American,Chevrolet,Spark Activ,1.4,4.0,Man-5,2WD,Gasoline,small car,29.0,37.0,32.0,7
55,American,Chevrolet,Volt,1.5,4.0,CVT,2WD,Gasoline/Electricity,small car,43.0,42.0,42.0,10
59,American,Chrysler,Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,minivan,29.0,30.0,30.0,10
61,European,Fiat,124 Spider,1.4,4.0,Man-6,2WD,Gasoline,small car,26.0,35.0,30.0,7
63,European,Fiat,500,1.4,4.0,Man-5,2WD,Gasoline,small car,28.0,33.0,30.0,7
65,European,Fiat,500 Abarth,1.4,4.0,Man-5,2WD,Gasoline,small car,28.0,33.0,30.0,7
69,American,Ford,Fiesta,1.6,4.0,AMS-6,2WD,Gasoline,small car,27.0,37.0,31.0,7
71,American,Ford,Fiesta,1.6,4.0,Man-5,2WD,Gasoline,small car,27.0,35.0,30.0,7
73,American,Ford,Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Gasoline/Electricity,midsize car,43.0,40.0,42.0,10
75,American,Ford,Fusion Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,43.0,41.0,42.0,9
